,messiApps,messiAssists,messiGoals,ronaldoGoals,ronaldoAssists,ronaldoApps
0,16,5,11,21,6,21
1,57,27,58,61,21,54
2,46,14,41,51,14,47
3,50,15,60,55,12,55
4,60,29,73,60,15,55
5,55,23,53,53,15,54
6,53,11,47,33,7,35
7,51,17,38,26,9,53
8,40,13,16,42,7,49
9,36,3,17,23,15,53
10,25,3,8,12,8,47
11,9,0,1,9,8,50
12,/,/,/,6,7,40
13,/,/,/,5,7,31
14,337,124,343,334,90,321
