,messiApps,messiAssists,messiGoals,ronaldoGoals,ronaldoAssists,ronaldoApps
0,3,1,3,11,3,6
1,13,5,10,10,3,12
2,7,0,8,17,4,11
3,11,2,8,12,1,12
4,11,5,14,10,3,10
5,13,3,12,6,4,12
6,11,0,8,7,0,6
7,12,5,9,4,2,12
8,9,1,6,8,1,11
9,5,0,1,3,5,11
10,6,1,1,1,1,8
11,1,0,0,0,2,8
12,/,/,/,0,0,5
13,/,/,/,0,1,3
14,69,16,63,73,18,69
